Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
default         _gateway        0.0.0.0         UG    100    0        0 enp4s0
89.232.185.154  _gateway        255.255.255.255 UGH   100    0        0 enp4s0
100.100.0.0     0.0.0.0         255.255.252.0   U     0      0        0 tun0
100.100.2.4     0.0.0.0         255.255.255.255 UH    0      0        0 tun0
100.100.3.1     0.0.0.0         255.255.255.255 UH    0      0        0 tun0
100.100.3.2     0.0.0.0         255.255.255.255 UH    0      0        0 tun0
100.100.16.0    0.0.0.0         255.255.240.0   U     0      0        0 tun0
100.100.100.1   0.0.0.0         255.255.255.255 UH    0      0        0 tun0
100.100.100.2   0.0.0.0         255.255.255.255 UH    0      0        0 tun0
172.17.0.0      0.0.0.0         255.255.0.0     U     0      0        0 docker0
172.18.0.0      0.0.0.0         255.255.0.0     U     0      0        0 br-50c61000c2f3
192.168.1.0     0.0.0.0         255.255.255.0   U     100    0        0 enp4s0
